operator_code,across_record_id,model_name,fleet_prefix,source_url
Argos,215,Argos Bus Fleet (Miscellaneous),,https://1005.idv.hk/index.php?page=11&p=215
Bigbus,293,Bigbus (HK) Dennis Dominator,,https://1005.idv.hk/index.php?page=11&p=293
Bigbus,292,Bigbus (HK) Dennis Condor,,https://1005.idv.hk/index.php?page=11&p=292
Bigbus,309,Bigbus Ankai HFF6110GS-2,,https://1005.idv.hk/index.php?page=11&p=309
Citybus,58,Citybus AEC Routemaster,,https://1005.idv.hk/index.php?page=11&p=58
Citybus,59,Citybus Leyland Olympian 12m Coach,,https://1005.idv.hk/index.php?page=11&p=59
Citybus,80,Citybus Dennis Dart / Dart SLF (Plaxton Body) (14),,https://1005.idv.hk/index.php?page=11&p=80
Citybus,84,Citybus Neoplan Norinco BN316 (18),,https://1005.idv.hk/index.php?page=11&p=84
Citybus,62,Citybus Leyland Olympian 11m Coach (1),,https://1005.idv.hk/index.php?page=11&p=62
Citybus,63,Citybus Leyland Olympian 10.4m (2),,https://1005.idv.hk/index.php?page=11&p=63
Citybus,64,Citybus Volvo Olympian 10.4m (2),,https://1005.idv.hk/index.php?page=11&p=64
Citybus,85,Citybus Volvo B12 (20),,https://1005.idv.hk/index.php?page=11&p=85
Citybus,65,Citybus Leyland Olympian 12m Coach (2nd hand) (3),,https://1005.idv.hk/index.php?page=11&p=65
Citybus,66,Citybus Volvo Olympian 12m Coach (2nd hand) (3),,https://1005.idv.hk/index.php?page=11&p=66
Citybus,67,"Citybus Volvo Olympian 12m (3,4,5,6)",,https://1005.idv.hk/index.php?page=11&p=67
Citybus,68,Citybus Leyland Olympian 12m Coach (3),,https://1005.idv.hk/index.php?page=11&p=68
Citybus,69,Citybus Leyland Olympian 12m (3),,https://1005.idv.hk/index.php?page=11&p=69
Citybus,72,Citybus Dennis Dragon 10.3m (7),,https://1005.idv.hk/index.php?page=11&p=72
Citybus,73,Citybus Dennis Dragon 12m (8),,https://1005.idv.hk/index.php?page=11&p=73
Citybus,75,Citybus Volvo Olympian 11m (9),,https://1005.idv.hk/index.php?page=11&p=75
Citybus,77,Citybus Volvo B10M (12),,https://1005.idv.hk/index.php?page=11&p=77
Citybus,78,Citybus Volvo B6R/B6LE (13),,https://1005.idv.hk/index.php?page=11&p=78
Citybus,82,Citybus Dennis Dart (3rd hand) (14),,https://1005.idv.hk/index.php?page=11&p=82
Citybus,83,Citybus MAN NL-262 (15),,https://1005.idv.hk/index.php?page=11&p=83
Citybus,115,"Citybus Leyland Atlantean AN68 (6,A6)",A,https://1005.idv.hk/index.php?page=11&p=115
Citybus,86,Citybus Dennis Trident 12m Coach (21),,https://1005.idv.hk/index.php?page=11&p=86
Citybus,87,"Citybus Dennis Trident 12m (22,23)",,https://1005.idv.hk/index.php?page=11&p=87
Citybus,88,Citybus MAN 24.350 (25),,https://1005.idv.hk/index.php?page=11&p=88
Citybus,89,Citybus Dennis Trident 10.6m (27),,https://1005.idv.hk/index.php?page=11&p=89
Citybus,90,Citybus Scania K94UB 6x2 (28),,https://1005.idv.hk/index.php?page=11&p=90
Citybus,91,Citybus Training Fleet (T),T,https://1005.idv.hk/index.php?page=11&p=91
Citybus,185,Citybus Dennis Dragon 12m (HACTL),,https://1005.idv.hk/index.php?page=11&p=185
Citybus,186,Citybus Daimler Fleetline (D),D|L,https://1005.idv.hk/index.php?page=11&p=186
Citybus,187,Citybus Daimler Fleetline,L|D,https://1005.idv.hk/index.php?page=11&p=187
Citybus,188,Citybus Bristol Lodekka (B),B,https://1005.idv.hk/index.php?page=11&p=188
Citybus,189,Citybus Daimler Fleetline,D,https://1005.idv.hk/index.php?page=11&p=189
Citybus,190,Citybus Leyland Atlantean,L,https://1005.idv.hk/index.php?page=11&p=190
Citybus,191,Citybus Dennis Dominator,,https://1005.idv.hk/index.php?page=11&p=191
Citybus,192,Citybus Daimler Fleetline,L,https://1005.idv.hk/index.php?page=11&p=192
Citybus,193,Citybus Dennis Dominator,,https://1005.idv.hk/index.php?page=11&p=193
Citybus,194,Citybus Leyland Olympian,,https://1005.idv.hk/index.php?page=11&p=194
Citybus,196,Citybus MCW Metrobus Mk I,,https://1005.idv.hk/index.php?page=11&p=196
Citybus,197,Citybus MCW Metrobus Mk I,,https://1005.idv.hk/index.php?page=11&p=197
Citybus,195,Citybus Leyland Olympian,,https://1005.idv.hk/index.php?page=11&p=195
Citybus,211,Citybus Dennis Condor 11m Open-topped (3rd hand),,https://1005.idv.hk/index.php?page=11&p=211
Citybus,216,Citybus Volvo Olympian (Temporary Bus Fleet) (VA),VA,https://1005.idv.hk/index.php?page=11&p=216
Citybus,246,Citybus Leyland Victory,,https://1005.idv.hk/index.php?page=11&p=246
Citybus,247,Citybus Nissan Minibus (2),,https://1005.idv.hk/index.php?page=11&p=247
Citybus,248,Citybus Mercedes Benz OF1113 (12),,https://1005.idv.hk/index.php?page=11&p=248
Citybus,249,Citybus Mitsubishi Mk117J (12),,https://1005.idv.hk/index.php?page=11&p=249
Citybus,250,Citybus Scania K93 (12),,https://1005.idv.hk/index.php?page=11&p=250
Citybus,251,Citybus Mitsubishi MK618N (12),,https://1005.idv.hk/index.php?page=11&p=251
Citybus,252,Citybus Ailsa Volvo B55 (V),V,https://1005.idv.hk/index.php?page=11&p=252
Citybus,253,Citybus Nissan R85H (2),,https://1005.idv.hk/index.php?page=11&p=253
Citybus,254,Citybus Nissan BM115L (2),,https://1005.idv.hk/index.php?page=11&p=254
Citybus,255,Citybus Isuzu ECM430 (2),,https://1005.idv.hk/index.php?page=11&p=255
Citybus,256,Citybus Nissan U20N (2),,https://1005.idv.hk/index.php?page=11&p=256
Citybus,257,Citybus Mitsubishi MP117K (2),,https://1005.idv.hk/index.php?page=11&p=257
Citybus,258,Citybus Nissan 4R95 (2),,https://1005.idv.hk/index.php?page=11&p=258
Citybus,277,"Citybus Alexander Dennis Enviro 500 12m (509,81,82,83)",,https://1005.idv.hk/index.php?page=11&p=277
Citybus,306,"Citybus Enviro 400 (310,70)",,https://1005.idv.hk/index.php?page=11&p=306
Citybus,312,"Citybus Volvo B9TL 10.4m (2-axle) (320,75)",,https://1005.idv.hk/index.php?page=11&p=312
Citybus,318,Citybus Training Fleet,,https://1005.idv.hk/index.php?page=11&p=318
Citybus,319,Citybus Scania K280UD (89),,https://1005.idv.hk/index.php?page=11&p=319
Citybus,322,Citybus Youngman JNP6105GR (18),,https://1005.idv.hk/index.php?page=11&p=322
Citybus,329,Citybus Alexander Dennis Enviro 500 MMC 12m(Cityflyer) (80),,https://1005.idv.hk/index.php?page=11&p=329
Citybus,333,"Citybus Alexander Dennis Enviro 500 MMC 11.3m (409,91)",,https://1005.idv.hk/index.php?page=11&p=333
Citybus,335,"Citybus Alexander Dennis Enviro 500 MMC 12m (2,599,83,84,85)",,https://1005.idv.hk/index.php?page=11&p=335
Citybus,343,"Citybus Alexander Dennis Enviro 500 MMC 12.8m (63,64,65)",,https://1005.idv.hk/index.php?page=11&p=343
