operator_code,fleet_prefix,listed_bus_count,model_names,across_record_ids
Argos,,197,Argos Bus Fleet (Miscellaneous),215
Bigbus,,28,Bigbus (HK) Dennis Condor | Bigbus (HK) Dennis Dominator | Bigbus Ankai HFF6110GS-2,292|293|309
CLP,,27,CLP ADL E500EV | CLP Alexander Dennis Enviro 500 (3) | CLP Alexander Dennis Enviro 500 MMC (3) | CLP Leyland Olympian 12m Coach (3) | CLP Volvo Olympian 12m Coach (3),439|297|374|92|93
CMB,LX,309,CMB Guy Arab V (LX),162
CMB,LF,308,CMB Daimler/ Leyland Fleetline (LF),144
CMB,XF,206,CMB Daimler Fleetline (Park Royal Body) (XF),152
CMB,LV,167,CMB Leyland Victory Mk II (LV),146
CMB,LW,122,CMB Dennis Loline V (LW) | CMB Guy Arab IV (LW) | CMB Guy Arab V (LW),170|172|169
CMB,PD,113,CMB Leyland Titan (PD) | CMB Leyland Titan (PD5),157|158
CMB,DA,95,CMB Dennis Condor (Air-cond.) (DA),176
CMB,ML,84,CMB MCW Metrobus 12m (ML),140
CMB,VA,66,CMB Volvo Olympian 11m (Air-cond.) (VA),178
CMB,LS,56,CMB Guy Arab V (LS),165
CMB,,50,CMB Guy Arab UF (6) | CMB Guy Arab V (Short Wheelbase) (7),171|173
CMB,XA,50,CMB Leyland Atlantean (XA),154
CMB,S,49,CMB Guy Arab V (S),164
CMB,DL,48,CMB Dennis Condor 12m (DL),141
CMB,M,44,CMB Guy Arab V (M),163
CMB,LA,43,CMB Leyland Atlantean (LA) | CMB Leyland Olympian 11m (Air-cond.) (LA),155|177
CMB,MB,40,CMB MCW Metrobus 11m (MB),139
CMB,RLX,32,CMB Daimler/ Leyland Fleetline (SF),145
CMB,SF,32,CMB Daimler/ Leyland Fleetline (SF),145
CMB,DS,30,CMB Dennis Jubilant (DS),142
CMB,DM,28,CMB Dennis Condor 11m (DM),180
CMB,T,21,CMB Training Fleet (T),7
CMB,DC,20,CMB Dennis Dart (Carlyle Body) (DC),179
CMB,MW,17,CMB Guy Arab IV (MW),8
CMB,MC,12,CMB MCW Metrobus 9.7m (MC),181
CMB,CX,11,CMB Dennis Dart (Marshall Body) (CX),175
CMB,LM,10,CMB Leyland Olympian 11m (LM),143
CMB,AV,8,CMB Ailsa Volvo B55 (AV),161
CMB,SD,6,CMB Dennis Dominator (SD),150
CMB,HA,3,CMB Leyland Atlantean (HA),156
CMB,AL,2,CMB Ailsa Volvo (AL),147
CMB,BR,2,CMB Leyland Olympian 9.5m/ 10.3m (BR),148
CMB,CM,2,CMB MCW Metrorider (CM),166
CMB,MS,2,CMB MCW Metropolitan (MS),160
CMB,AM,1,CMB Albion Viking (AM),167
CMB,APD,1,CMB Leyland Titan (APD),159
CMB,DD,1,CMB Dennis Dominator (DD),151
CMB,FC,1,CMB Daimler Fleetline (Park Royal Body) (FC),153
CMB,SM,1,CMB Seddon Minibus (SM),168
CMB,TC,1,CMB Titan B45 (TC),149
CMB,VC,1,CMB Volvo B6LE (VC),174
CityBus,,101,CityBus ADL Enviro 500MMC 12.8m Coach (68),385
