operator_code,fleet_prefix,model_name,across_record_id,listed_bus_count,source_url
Argos,,Argos Bus Fleet (Miscellaneous),215,197,https://1005.idv.hk/index.php?page=11&p=215
Bigbus,,Bigbus (HK) Dennis Condor,292,7,https://1005.idv.hk/index.php?page=11&p=292
Bigbus,,Bigbus (HK) Dennis Dominator,293,3,https://1005.idv.hk/index.php?page=11&p=293
Bigbus,,Bigbus Ankai HFF6110GS-2,309,18,https://1005.idv.hk/index.php?page=11&p=309
CLP,,CLP ADL E500EV,439,4,https://1005.idv.hk/index.php?page=11&p=439
CLP,,CLP Alexander Dennis Enviro 500 (3),297,5,https://1005.idv.hk/index.php?page=11&p=297
CLP,,CLP Alexander Dennis Enviro 500 MMC (3),374,1,https://1005.idv.hk/index.php?page=11&p=374
CLP,,CLP Leyland Olympian 12m Coach (3),92,15,https://1005.idv.hk/index.php?page=11&p=92
CLP,,CLP Volvo Olympian 12m Coach (3),93,2,https://1005.idv.hk/index.php?page=11&p=93
CMB,,CMB Guy Arab UF (6),171,16,https://1005.idv.hk/index.php?page=11&p=171
CMB,,CMB Guy Arab V (Short Wheelbase) (7),173,34,https://1005.idv.hk/index.php?page=11&p=173
CMB,AL,CMB Ailsa Volvo (AL),147,2,https://1005.idv.hk/index.php?page=11&p=147
CMB,AM,CMB Albion Viking (AM),167,1,https://1005.idv.hk/index.php?page=11&p=167
CMB,APD,CMB Leyland Titan (APD),159,1,https://1005.idv.hk/index.php?page=11&p=159
CMB,AV,CMB Ailsa Volvo B55 (AV),161,8,https://1005.idv.hk/index.php?page=11&p=161
CMB,BR,CMB Leyland Olympian 9.5m/ 10.3m (BR),148,2,https://1005.idv.hk/index.php?page=11&p=148
CMB,CM,CMB MCW Metrorider (CM),166,2,https://1005.idv.hk/index.php?page=11&p=166
CMB,CX,CMB Dennis Dart (Marshall Body) (CX),175,11,https://1005.idv.hk/index.php?page=11&p=175
CMB,DA,CMB Dennis Condor (Air-cond.) (DA),176,95,https://1005.idv.hk/index.php?page=11&p=176
CMB,DC,CMB Dennis Dart (Carlyle Body) (DC),179,20,https://1005.idv.hk/index.php?page=11&p=179
CMB,DD,CMB Dennis Dominator (DD),151,1,https://1005.idv.hk/index.php?page=11&p=151
CMB,DL,CMB Dennis Condor 12m (DL),141,48,https://1005.idv.hk/index.php?page=11&p=141
CMB,DM,CMB Dennis Condor 11m (DM),180,28,https://1005.idv.hk/index.php?page=11&p=180
CMB,DS,CMB Dennis Jubilant (DS),142,30,https://1005.idv.hk/index.php?page=11&p=142
CMB,FC,CMB Daimler Fleetline (Park Royal Body) (FC),153,1,https://1005.idv.hk/index.php?page=11&p=153
CMB,HA,CMB Leyland Atlantean (HA),156,3,https://1005.idv.hk/index.php?page=11&p=156
CMB,LA,CMB Leyland Atlantean (LA),155,18,https://1005.idv.hk/index.php?page=11&p=155
CMB,LA,CMB Leyland Olympian 11m (Air-cond.) (LA),177,25,https://1005.idv.hk/index.php?page=11&p=177
CMB,LF,CMB Daimler/ Leyland Fleetline (LF),144,308,https://1005.idv.hk/index.php?page=11&p=144
CMB,LM,CMB Leyland Olympian 11m (LM),143,10,https://1005.idv.hk/index.php?page=11&p=143
CMB,LS,CMB Guy Arab V (LS),165,56,https://1005.idv.hk/index.php?page=11&p=165
CMB,LV,CMB Leyland Victory Mk II (LV),146,167,https://1005.idv.hk/index.php?page=11&p=146
CMB,LW,CMB Dennis Loline V (LW),170,1,https://1005.idv.hk/index.php?page=11&p=170
CMB,LW,CMB Guy Arab IV (LW),172,11,https://1005.idv.hk/index.php?page=11&p=172
CMB,LW,CMB Guy Arab V (LW),169,110,https://1005.idv.hk/index.php?page=11&p=169
CMB,LX,CMB Guy Arab V (LX),162,309,https://1005.idv.hk/index.php?page=11&p=162
CMB,M,CMB Guy Arab V (M),163,44,https://1005.idv.hk/index.php?page=11&p=163
CMB,MB,CMB MCW Metrobus 11m (MB),139,40,https://1005.idv.hk/index.php?page=11&p=139
CMB,MC,CMB MCW Metrobus 9.7m (MC),181,12,https://1005.idv.hk/index.php?page=11&p=181
CMB,ML,CMB MCW Metrobus 12m (ML),140,84,https://1005.idv.hk/index.php?page=11&p=140
CMB,MS,CMB MCW Metropolitan (MS),160,2,https://1005.idv.hk/index.php?page=11&p=160
CMB,MW,CMB Guy Arab IV (MW),8,17,https://1005.idv.hk/index.php?page=11&p=8
CMB,PD,CMB Leyland Titan (PD),157,80,https://1005.idv.hk/index.php?page=11&p=157
CMB,PD,CMB Leyland Titan (PD5),158,33,https://1005.idv.hk/index.php?page=11&p=158
CMB,RLX,CMB Daimler/ Leyland Fleetline (SF),145,32,https://1005.idv.hk/index.php?page=11&p=145
CMB,S,CMB Guy Arab V (S),164,49,https://1005.idv.hk/index.php?page=11&p=164
CMB,SD,CMB Dennis Dominator (SD),150,6,https://1005.idv.hk/index.php?page=11&p=150
CMB,SF,CMB Daimler/ Leyland Fleetline (SF),145,32,https://1005.idv.hk/index.php?page=11&p=145
CMB,SM,CMB Seddon Minibus (SM),168,1,https://1005.idv.hk/index.php?page=11&p=168
CMB,T,CMB Training Fleet (T),7,21,https://1005.idv.hk/index.php?page=11&p=7
CMB,TC,CMB Titan B45 (TC),149,1,https://1005.idv.hk/index.php?page=11&p=149
CMB,VA,CMB Volvo Olympian 11m (Air-cond.) (VA),178,66,https://1005.idv.hk/index.php?page=11&p=178
CMB,VC,CMB Volvo B6LE (VC),174,1,https://1005.idv.hk/index.php?page=11&p=174
CMB,XA,CMB Leyland Atlantean (XA),154,50,https://1005.idv.hk/index.php?page=11&p=154
CMB,XF,CMB Daimler Fleetline (Park Royal Body) (XF),152,206,https://1005.idv.hk/index.php?page=11&p=152
CityBus,,CityBus ADL Enviro 500MMC 12.8m Coach (68),385,101,https://1005.idv.hk/index.php?page=11&p=385
Citybus,,Citybus AEC Routemaster,58,3,https://1005.idv.hk/index.php?page=11&p=58
Citybus,,"Citybus Alexander Dennis Enviro 500 12m (509,81,82,83)",277,252,https://1005.idv.hk/index.php?page=11&p=277
Citybus,,Citybus Alexander Dennis Enviro 500 Hybrid (84),349,2,https://1005.idv.hk/index.php?page=11&p=349
Citybus,,"Citybus Alexander Dennis Enviro 500 MMC 11.3m (409,91)",333,77,https://1005.idv.hk/index.php?page=11&p=333
Citybus,,"Citybus Alexander Dennis Enviro 500 MMC 12.8m (63,64,65)",343,301,https://1005.idv.hk/index.php?page=11&p=343
Citybus,,"Citybus Alexander Dennis Enviro 500 MMC 12m (2,599,83,84,85)",335,273,https://1005.idv.hk/index.php?page=11&p=335
